LineId,Level,Content,EventId,EventTemplate,ParameterList
1,[2023-10-13,08:00:00] - Jenkins version 2.321.1,cd92f24c,08:00:00] - Jenkins version 2.321.1,[]
2,[INFO],Starting the build process,74e95183,Starting the build process,[]
3,[INFO],Checking out code from repository: git clone https://github.com/myproject.git,76fcee11,Checking out code from repository: git clone https://github.com/myproject.git,[]
4,[ERROR],Build failed due to a compilation error,06c9fee4,Build failed due to a compilation error,[]
5,[INFO],Cleaning up workspace,388759c1,Cleaning up workspace,[]
6,[INFO],Compiling source code...,c58e9e70,Compiling source code...,[]
7,[INFO],Running unit tests...,5379c507,Running unit tests...,[]
8,[INFO],Packaging the application...,8c4a92cd,Packaging the application...,[]
9,[INFO],Deploying to staging server...,89443e2c,Deploying to staging server...,[]
10,[WARNING],"The deployment to the staging server was successful, but some tests failed.",ea71154d,"The deployment to the staging server was successful, but some tests failed.",[]
11,[INFO],Rolling back the deployment...,65f623cc,Rolling back the deployment...,[]
12,[ERROR],"Deployment rollback failed, and we need to investigate the issue.",47a805e8,"Deployment rollback failed, and we need to investigate the issue.",[]
13,[INFO],Analyzing the build and deployment logs...,f66502aa,Analyzing the build and deployment logs...,[]
14,[INFO],Preparing a report...,bfbd7484,Preparing a report...,[]
15,Finished,building project,26ac0f9d,building project,[]
16,[WARNING],Some post-build steps failed,cb26fade,Some post-build steps failed,[]
17,[INFO],Archiving build artifacts...,4b0349af,Archiving build artifacts...,[]
18,[INFO],Sending email notification...,4ab1c12a,Sending email notification...,[]
19,[INFO],Build completed successfully,0301b198,Build completed successfully,[]
20,[INFO],Triggering the next build...,edc24364,Triggering the next build...,[]
21,[INFO],Building downstream projects...,fb946592,Building downstream projects...,[]
22,[INFO],Uploading build artifacts to the artifact repository...,d7286905,Uploading build artifacts to the artifact repository...,[]
23,[INFO],Finished downstream projects,3b517937,Finished downstream projects,[]
